\begin{tabular}{lrrrrrrrrr}
\toprule
{} &  monthly\_returns &  volatility &    sharpe &  excReturns &      beta &  max\_drawdown &        TE &          IR &  monthly\_turnover \\
\midrule
CW           &         0.010106 &    0.227643 &  0.038654 &    0.000000 &  1.000000 &     -0.720404 &  0.000000 &         NaN &          0.085083 \\
EW           &         0.126981 &    0.291407 &  0.431268 &    0.116875 &  0.569915 &     -0.779163 &  0.036625 &  266.330425 &          0.000000 \\
MV           &         0.051882 &    0.246004 &  0.205587 &    0.041776 &  0.568393 &     -0.687816 &  0.037774 &  112.414285 &          0.689663 \\
Low Vol      &         0.008075 &    0.237037 &  0.028554 &   -0.002031 &  0.818225 &     -0.866623 &  0.021022 &   31.570955 &          0.504167 \\
High Vol     &         0.333145 &    0.669536 &  0.495625 &    0.323040 &  0.070498 &     -0.765374 &  0.150999 &  275.774877 &          0.360417 \\
Low Beta     &         0.333288 &    0.664912 &  0.499286 &    0.323182 &  0.070507 &     -0.869131 &  0.147336 &  268.960184 &          0.119231 \\
High Beta    &         0.012279 &    0.261427 &  0.041974 &    0.002174 &  0.769599 &     -0.825773 &  0.022174 &   51.542488 &          0.109615 \\
Low Beta EW  &         0.333288 &    0.664912 &  0.499286 &    0.323182 &  0.070507 &     -0.869131 &  0.147336 &  268.960184 &          0.113462 \\
High Beta EW &         0.012279 &    0.261427 &  0.041974 &    0.002174 &  0.769599 &     -0.825773 &  0.022174 &   51.542488 &          0.121154 \\
\bottomrule
\end{tabular}
