\begin{tabular}{lrrrrrrrrr}
\toprule
{} &  monthly\_returns &  volatility &    sharpe &  excReturns &      beta &  max\_drawdown &        TE &          IR &  monthly\_turnover \\
\midrule
CW              &         0.032472 &    0.202785 &  0.153686 &    0.000000 &  1.000000 &     -0.544821 &  0.000000 &         NaN &          0.085676 \\
CW\_noBTC        &         0.004193 &    0.269481 &  0.010711 &   -0.028279 &  0.951712 &     -0.843721 &  0.038721 &   62.510242 &               NaN \\
EW              &         0.074872 &    0.241006 &  0.305246 &    0.042401 &  0.918136 &     -0.712535 &  0.029603 &  231.301445 &          0.000000 \\
MV              &         0.060885 &    0.212906 &  0.279837 &    0.028414 &  0.813859 &     -0.705107 &  0.027985 &  150.142302 &          1.004769 \\
Low Vol         &         0.034940 &    0.230340 &  0.146018 &    0.002469 &  0.872962 &     -0.703696 &  0.030391 &   74.752574 &          0.819767 \\
High Vol        &         0.105157 &    0.462620 &  0.224484 &    0.072686 &  0.887351 &     -0.782267 &  0.081709 &  233.289559 &          0.633721 \\
Low Beta        &         0.067729 &    0.251167 &  0.264457 &    0.035258 &  0.864481 &     -0.727288 &  0.034806 &  181.437988 &          0.266667 \\
High Beta       &         0.066656 &    0.283438 &  0.230560 &    0.034184 &  0.971792 &     -0.702903 &  0.038041 &  193.984212 &          0.266667 \\
Low Beta EW     &         0.067729 &    0.251167 &  0.264457 &    0.035258 &  0.864481 &     -0.727288 &  0.034806 &  181.437988 &          0.093333 \\
High Beta EW    &         0.066656 &    0.283438 &  0.230560 &    0.034184 &  1.065423 &     -0.702903 &  0.038041 &  193.984212 &          0.093333 \\
Low Beta noBTC  &         0.078046 &    0.255783 &  0.300018 &    0.045574 &  0.941458 &     -0.636811 &  0.035163 &  207.274838 &          0.173333 \\
High Beta noBTC &         0.053912 &    0.279445 &  0.188249 &    0.021440 &  0.719524 &     -0.798166 &  0.038144 &  167.940736 &          0.173333 \\
\bottomrule
\end{tabular}
