\begin{tabular}{lrrrrrrrrr}
\toprule
{} &  monthly\_returns &  volatility &    sharpe &  excReturns &      beta &  max\_drawdown &        TE &          IR &  monthly\_turnover \\
\midrule
CW           &         0.012944 &    0.228169 &  0.051004 &    0.000000 &  1.000000 &     -0.705948 &  0.000000 &         NaN &          0.163689 \\
EW           &         0.126981 &    0.291407 &  0.431268 &    0.114037 &  0.570586 &     -0.779163 &  0.036710 &  262.247120 &          0.000000 \\
MV           &         0.038397 &    0.221562 &  0.167406 &    0.025453 &  0.784846 &     -0.719643 &  0.027263 &   73.665493 &          1.463343 \\
Low Vol      &        -0.005232 &    0.236562 & -0.027639 &   -0.018176 &  0.823828 &     -0.875012 &  0.020743 &    4.110906 &          0.854167 \\
High Vol     &         0.346577 &    0.682657 &  0.505775 &    0.333634 &  0.066732 &     -0.716061 &  0.154338 &  290.683743 &          0.516667 \\
Low Beta     &         0.340307 &    0.681108 &  0.497719 &    0.327363 &  0.067961 &     -0.869131 &  0.150538 &  279.657329 &          0.182692 \\
High Beta    &         0.009850 &    0.261988 &  0.032611 &   -0.003094 &  0.769748 &     -0.825773 &  0.022338 &   40.456043 &          0.182692 \\
Low Beta EW  &         0.340307 &    0.681108 &  0.497719 &    0.327363 &  0.067961 &     -0.869131 &  0.150538 &  279.657329 &          0.148077 \\
High Beta EW &         0.009850 &    0.261988 &  0.032611 &   -0.003094 &  0.769748 &     -0.825773 &  0.022338 &   40.456043 &          0.186538 \\
\bottomrule
\end{tabular}
